Case_Nature,Suspected_Abuse_Type,Number_of_Cases,Source_Year,Department,Data_Source,Page
Child Management (at risk),N/A,127,2021-2022,NGO - ACA,ACA-AnnualReport-2021-22.pdf,128
Child Management,N/A,47,2021-2022,NGO - ACA,ACA-AnnualReport-2021-22.pdf,128
Abuse Cases,Sexual abuse,1,2022-2023,NGO - ACA,ACA_Annual_Report_2022-23.pdf,124
Abuse Cases,Multiple abuse,2,2022-2023,NGO - ACA,ACA_Annual_Report_2022-23.pdf,124
Abuse Cases,Physical abuse,12,2022-2023,NGO - ACA,ACA_Annual_Report_2022-23.pdf,124
Abuse Cases,Neglect,0,2022-2023,NGO - ACA,ACA_Annual_Report_2022-23.pdf,124
Child Management (at risk),N/A,88,2022-2023,NGO - ACA,ACA_Annual_Report_2022-23.pdf,124
Child Management,N/A,39,2022-2023,NGO - ACA,ACA_Annual_Report_2022-23.pdf,124
Abuse Cases,Sexual abuse,0,2023-2024,NGO - ACA,ACA_Annual_Report_2023-24.pdf,132
Abuse Cases,Multiple abuse,0,2023-2024,NGO - ACA,ACA_Annual_Report_2023-24.pdf,132
Abuse Cases,Physical abuse,3,2023-2024,NGO - ACA,ACA_Annual_Report_2023-24.pdf,132
Abuse Cases,Neglect,0,2023-2024,NGO - ACA,ACA_Annual_Report_2023-24.pdf,132
Child Management (at risk),N/A,45,2023-2024,NGO - ACA,ACA_Annual_Report_2023-24.pdf,132
Child Management,N/A,90,2023-2024,NGO - ACA,ACA_Annual_Report_2023-24.pdf,132
